Dataset,Size Schema,Config,Size ITE,Ratio ITE,#Constraints,Runtime
MapGermany,405,threshold-15,190,0.317,6,7.1127660274505615
MapGermany,405,threshold-35,158,0.279,5,6.764687538146973
MapGermany,405,threshold-50,126,0.236,4,7.2640016078948975
MapEU,359,threshold-15,127,0.259,4,3.756514310836792
MapEU,359,threshold-35,95,0.207,3,3.9570019245147705
MapEU,359,threshold-50,95,0.207,3,3.6907706260681152
WorldGenBerlin,1339,threshold-15,278,0.171,8,34.7005672454834
WorldGenBerlin,1339,threshold-35,182,0.119,5,18.372392177581787
WorldGenBerlin,1339,threshold-50,150,0.1,4,12.049135446548462
USHouseMembers,493,threshold-15,54,0.098,2,1.4216539859771729
USHouseMembers,493,threshold-35,54,0.098,2,1.4420139789581299
USHouseMembers,493,threshold-50,54,0.098,2,1.5709996223449707
WildlifeSites,143,threshold-15,92,0.385,3,49.21858048439026
WildlifeSites,143,threshold-35,38,0.205,1,56.97499060630798
WildlifeSites,143,threshold-50,38,0.205,1,59.91626024246216
